frame,time_seconds,player_id,confidence,x1,y1,x2,y2,ground_x,ground_y,inside_forward50,zone
14,0.28,13,0.4209,489.94,497.57,511.26,548.85,500.6,548.85,True,left_pocket
14,0.28,15,0.3644,1346.03,612.04,1374.91,682.15,1360.47,682.15,True,central_corridor
15,0.3,1,0.7107,1380.66,707.78,1421.89,813.13,1401.27,813.13,True,central_corridor
15,0.3,2,0.7167,1481.17,847.93,1534.76,984.53,1507.96,984.53,False,outside
15,0.3,4,0.6526,99.61,573.17,127.97,640.5,113.79,640.5,True,left_pocket
15,0.3,5,0.5759,1423.75,720.07,1463.12,822.23,1443.44,822.23,True,central_corridor
15,0.3,6,0.631,1034.44,530.91,1056.37,598.08,1045.4,598.08,True,left_half_forward
15,0.3,7,0.6225,952.66,556.01,982.31,618.44,967.49,618.44,True,left_half_forward
15,0.3,9,0.351,221.69,496.72,243.74,547.36,232.71,547.36,False,outside
15,0.3,13,0.4059,488.34,498.09,510.57,550.09,499.46,550.09,True,left_pocket
15,0.3,15,0.3852,1344.91,615.83,1375.77,685.01,1360.34,685.01,True,central_corridor
16,0.32,1,0.7219,1380.16,708.35,1422.83,813.65,1401.49,813.65,True,central_corridor
16,0.32,2,0.7179,1481.14,848.11,1535.18,984.7,1508.16,984.7,False,outside
16,0.32,4,0.6626,99.68,573.71,128.26,641.21,113.97,641.21,True,left_pocket
16,0.32,5,0.5867,1423.59,719.84,1462.65,823.25,1443.12,823.25,True,central_corridor
16,0.32,6,0.6481,1034.71,530.44,1056.67,598.13,1045.69,598.13,True,left_half_forward
16,0.32,7,0.6363,952.95,555.96,982.47,619.35,967.71,619.35,True,left_half_forward
16,0.32,9,0.3518,222.13,495.26,244.45,546.17,233.29,546.17,False,outside
16,0.32,13,0.4142,487.74,497.51,510.2,550.39,498.97,550.39,True,left_pocket
16,0.32,15,0.3946,1344.54,616.92,1376.09,685.98,1360.31,685.98,True,central_corridor
16,0.32,16,0.355,819.64,468.92,841.3,514.67,830.47,514.67,False,outside
17,0.34,1,0.692,1379.12,708.28,1420.13,812.42,1399.63,812.42,True,central_corridor
17,0.34,2,0.7241,1481.1,848.14,1534.98,984.72,1508.04,984.72,False,outside
17,0.34,4,0.6599,99.18,574.31,128.37,640.8,113.78,640.8,True,left_pocket
17,0.34,5,0.5481,1422.73,720.64,1459.97,822.78,1441.35,822.78,True,central_corridor
17,0.34,6,0.6254,1036.65,529.89,1058.94,601.59,1047.8,601.59,True,left_half_forward
17,0.34,7,0.6295,953.26,555.82,983.2,618.81,968.23,618.81,True,left_half_forward
17,0.34,9,0.3703,221.76,493.47,244.65,546.18,233.21,546.18,False,outside
17,0.34,13,0.4394,487.02,496.53,509.18,549.78,498.1,549.78,True,left_pocket
17,0.34,15,0.4237,1345.01,615.37,1375.71,685.82,1360.36,685.82,True,central_corridor
17,0.34,16,0.4121,820.5,469.62,841.56,514.26,831.03,514.26,False,outside
18,0.36,1,0.695,1379.0,708.86,1418.99,812.16,1398.99,812.16,True,central_corridor
18,0.36,2,0.7175,1480.87,847.67,1535.81,984.89,1508.34,984.89,False,outside
18,0.36,4,0.6651,99.35,574.66,128.37,640.89,113.86,640.89,True,left_pocket
18,0.36,5,0.5665,1422.83,720.91,1459.01,822.56,1440.92,822.56,True,central_corridor
18,0.36,6,0.6052,1037.34,529.83,1060.09,602.64,1048.71,602.64,True,left_half_forward
18,0.36,7,0.6293,953.69,555.71,983.38,617.59,968.53,617.59,True,left_half_forward
18,0.36,9,0.4056,221.68,493.31,244.69,545.45,233.18,545.45,False,outside
18,0.36,13,0.4378,486.79,496.15,508.8,549.43,497.79,549.43,True,left_pocket
18,0.36,15,0.4258,1345.39,615.22,1375.36,685.97,1360.38,685.97,True,central_corridor
18,0.36,16,0.4113,820.68,470.72,841.46,514.47,831.07,514.47,False,outside
